Date,Price,Open,High,Low,Vol.,Change %
06/28/2018,19822.4,20205.1,20511.2,19745.9,4.82M,-3.36%
06/29/2018,19898.9,19898.9,20434.7,19669.3,2.66M,0.39%
07/02/2018,18942.2,19516.3,19898.9,18636.1,4.46M,-4.81%
07/03/2018,17641.2,18980.5,19248.4,17641.2,6.22M,-6.87%
07/04/2018,17526.4,17641.2,17717.7,16799.3,5.84M,-0.65%
07/05/2018,16531.4,17258.5,17641.2,16301.8,3.83M,-5.68%
07/06/2018,17679.4,16378.3,17679.4,15957.4,6.37M,6.94%
07/09/2018,17832.5,18062.1,18674.4,17794.2,6.82M,0.87%
07/10/2018,18100.4,18138.6,18636.1,17909.0,4.54M,1.50%
07/11/2018,16914.1,17449.8,17602.9,16837.6,6.84M,-6.55%
07/12/2018,17602.9,17143.7,18062.1,16875.8,3.16M,4.07%
07/13/2018,17985.6,17985.6,18368.2,17832.5,3.95M,2.17%
07/16/2018,18483.0,18368.2,18674.4,18138.6,3.66M,2.77%
07/17/2018,19057.0,18062.1,19248.4,18062.1,5.02M,3.11%
07/18/2018,20013.7,19133.6,20052.0,19057.0,5.05M,5.02%
07/19/2018,19745.9,19898.9,20052.0,19516.3,4.21M,-1.34%
07/20/2018,19439.7,19439.7,19822.4,18980.5,5.38M,-1.55%
07/23/2018,18980.5,19439.7,20052.0,18980.5,3.93M,-2.36%
07/24/2018,18980.5,18904.0,19516.3,18368.2,3.26M,0.00%
07/25/2018,18062.1,19133.6,19248.4,18062.1,3.49M,-4.84%
07/26/2018,18444.8,18062.1,18444.8,17794.2,2.97M,2.12%
07/27/2018,18980.5,18444.8,19095.3,18368.2,2.55M,2.90%
07/30/2018,20128.5,19286.7,20128.5,19133.6,4.77M,6.05%
07/31/2018,20128.5,20052.0,20626.0,19784.1,6.67M,0.00%
08/01/2018,20128.5,20128.5,20511.2,19898.9,4.39M,0.00%
08/02/2018,20052.0,19898.9,20052.0,19363.2,4.43M,-0.38%
08/03/2018,20319.9,20358.1,20434.7,20128.5,3.25M,1.34%
08/06/2018,20549.5,20358.1,21123.5,19937.2,4.10M,1.13%
08/07/2018,21008.7,20128.5,21200.0,20128.5,4.66M,2.23%
08/08/2018,22348.0,21046.9,22348.0,21046.9,5.67M,6.37%
08/09/2018,22080.2,22577.6,22807.2,22041.9,4.33M,-1.20%
08/10/2018,22883.8,21888.8,22883.8,21812.3,5.56M,3.64%
08/13/2018,23343.0,22730.7,23610.8,22654.2,4.62M,2.01%
08/14/2018,22960.3,23343.0,23457.8,22883.8,2.75M,-1.64%
08/15/2018,22424.6,23343.0,23496.0,21888.8,6.22M,-2.33%
08/16/2018,22960.3,22156.7,22998.6,21429.6,6.31M,2.39%
08/17/2018,23802.2,23419.5,24261.4,23036.8,5.87M,3.67%
08/20/2018,24031.8,23725.6,24337.9,23572.6,4.49M,0.96%
08/21/2018,25256.3,23725.6,25256.3,23725.6,5.12M,5.10%
08/22/2018,24873.7,25409.4,25792.1,24797.1,5.47M,-1.51%
08/23/2018,25294.6,25026.7,25639.0,24644.1,4.20M,1.69%
08/24/2018,25562.5,24950.2,25677.3,24950.2,3.49M,1.06%
08/27/2018,26021.7,25792.1,26098.2,25600.7,3.20M,1.80%
08/28/2018,25792.1,26251.3,26251.3,25485.9,3.25M,-0.88%
08/29/2018,25753.8,25792.1,26098.2,25677.3,2.92M,-0.15%
08/30/2018,26710.5,25715.5,26710.5,25639.0,4.13M,3.71%
08/31/2018,26327.8,26633.9,26787.0,26251.3,2.94M,-1.43%
09/04/2018,24873.7,26021.7,26021.7,24644.1,5.14M,-5.52%
09/05/2018,25332.9,24644.1,25524.2,24605.8,4.13M,1.85%
09/06/2018,25065.0,25332.9,25409.4,24797.1,2.42M,-1.06%
09/07/2018,25945.1,24873.7,26136.5,24873.7,3.99M,3.51%
09/10/2018,26021.7,25868.6,26404.3,25639.0,3.87M,0.30%
09/11/2018,27016.6,26021.7,27093.2,25945.1,5.50M,3.82%
09/12/2018,26595.7,27169.7,27246.2,26595.7,3.18M,-1.56%
09/13/2018,26787.0,26940.1,27169.7,26404.3,3.75M,0.72%
09/14/2018,26672.2,27016.6,27169.7,26557.4,2.08M,-0.43%
09/17/2018,26174.7,26557.4,26863.5,26174.7,2.72M,-1.87%
09/18/2018,26978.3,25868.6,27016.6,25639.0,5.19M,3.07%
09/19/2018,27016.6,27169.7,27514.1,26940.1,3.70M,0.14%
09/20/2018,27169.7,27016.6,27361.0,26672.2,2.90M,0.57%
09/21/2018,27016.6,27322.8,27361.0,26519.1,5.82M,-0.56%
09/24/2018,26710.5,27016.6,27246.2,26672.2,3.05M,-1.13%
09/25/2018,26787.0,26595.7,27246.2,26480.9,2.29M,0.29%
09/26/2018,26710.5,26748.7,27131.4,26710.5,2.46M,-0.29%
09/27/2018,26519.1,26787.0,26825.3,26519.1,2.61M,-0.72%
09/28/2018,26940.1,26710.5,27284.5,26557.4,3.55M,1.59%
10/01/2018,26595.7,26940.1,27169.7,26480.9,2.18M,-1.28%
10/02/2018,27705.4,26633.9,27858.5,26404.3,6.54M,4.17%
10/03/2018,28049.8,27782.0,28126.4,27705.4,2.97M,1.24%
10/04/2018,28126.4,28088.1,28164.6,27782.0,2.36M,0.27%
